State,Cases_Reported_2023,Cases_Pending_Previous_Year,Total_Cases_For_Investigation,False_Cases,Cases_Insufficient_Evidence,Total_Chargesheets,Total_Disposed,Cases_Pending_End_2023,Chargesheeting_Rate_Percent,Pendency_Percent,State_Type,Justice_Gap
Andhra Pradesh,22418,13874,36296,643,158,21180,22252,14027,95.2,38.6,State,15116
Arunachal Pradesh,326,297,623,13,30,255,357,266,71.4,42.7,State,368
Assam,12070,8754,20874,282,4177,11192,17165,3709,65.2,17.8,State,9682
Bihar,22952,21146,44486,760,394,17370,23003,21483,75.5,48.3,State,27116
Chhattisgarh,8035,1714,9749,1608,48,5931,7755,1994,76.5,20.5,State,3818
Goa,286,96,382,0,22,204,275,106,74.2,27.7,State,178
Gujarat,7805,1051,8856,15,338,6855,7703,1063,89.0,12.0,State,2001
Haryana,15758,3885,19662,6680,348,8987,16062,3596,56.0,18.3,State,10675
Himachal Pradesh,1604,292,1896,288,14,1146,1573,322,72.9,17.0,State,750
Jharkhand,6989,9840,16829,109,1127,6353,8054,8768,78.9,52.1,State,10476
Karnataka,20336,6792,27129,2497,241,16888,20798,6307,81.2,23.2,State,10241
Kerala,16025,3776,19835,484,350,14834,15825,3976,93.7,20.0,State,5001
Madhya Pradesh,32342,4242,36584,5335,207,25341,31192,5385,81.2,14.7,State,11243
Maharashtra,47101,30133,77235,456,777,37416,46279,30890,80.8,40.0,State,39819
Manipur,201,1512,1713,0,38,87,125,1588,69.6,92.7,State,1626
Meghalaya,628,812,1440,2,129,441,588,851,75.0,59.1,State,999
Mizoram,184,21,205,0,2,181,185,20,97.8,9.8,State,24
Nagaland,56,20,76,0,11,39,51,25,76.5,32.9,State,37
Odisha,25914,6618,32532,46,1710,18243,24865,7667,73.4,23.6,State,14289
Punjab,5258,6840,12101,952,233,4406,5985,5986,73.6,49.5,State,7695
Rajasthan,45450,3931,49381,12373,123,23267,43384,5993,53.6,12.1,State,26114
Sikkim,134,64,198,0,28,98,128,70,76.6,35.4,State,100
Tamil Nadu,8943,9039,18001,17,301,7618,8368,9591,91.0,53.3,State,10383
Telangana,23678,6693,30393,1071,229,19891,22568,7821,88.1,25.7,State,10502
Tripura,791,162,957,5,17,718,801,156,89.6,16.3,State,239
Uttar Pradesh,66381,10539,77328,944,12634,53322,69115,8213,77.1,10.6,State,24006
Uttarakhand,3808,2058,5866,55,1057,2768,3881,1985,71.3,33.8,State,3098
West Bengal,34691,10024,44731,125,799,32227,34344,10386,93.8,23.2,State,12504
Andaman and Nicobar Islands,205,7,212,1,7,182,197,15,92.4,7.1,Union Territory,30
Chandigarh,371,418,789,0,9,252,397,339,63.5,43.0,Union Territory,537
Dadra and Nagar Haveli and Daman and Diu,124,42,166,0,1,85,120,46,70.8,27.7,Union Territory,81
Delhi,13439,19411,32850,0,634,10380,14852,17708,69.9,53.9,Union Territory,22470
Jammu and Kashmir,3653,1721,5392,1047,48,2574,3673,1702,70.1,31.6,Union Territory,2818
Ladakh,20,5,25,0,1,11,14,10,78.6,40.0,Union Territory,14
Lakshadweep,23,32,55,0,2,17,21,34,81.0,61.8,Union Territory,38
Puducherry,212,100,312,0,0,178,191,121,93.2,38.8,Union Territory,134
